"","text","Wiebe.sentiment","AFINN.sentiment"
"3026272","cock cock cock cock cock cock cock cock cock cock cock cock cock cock cock cock cock cock cock cock cock cock cock cock cock cock cock co",-27,-135
"3981905","blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah bla",-26,-52
"6076383","i hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate f",-26,-78
"6169026","sad sad sad sad sad sad sad sad sad sad sad sad sad sad sad sad sad sad sad sad sad sad sad sad sad sad sad",-27,-54
"6243581","lies lies lies lies lies lies lies lies lies lies lies lies lies lies lies lies lies lies lies lies lies lies lies lies lies and more lie",-26,-2
"8762100","asu asu asu asu asu asu asu asu asu asu asu asu asu asu asu asu asuasu asu asu asu asu asu asu asuasu asu asu asu asu asu asu asi asu",-29,0
"74096","shit shit shit shit shit shit shit shit shit shit shit shit shit shit shit shit shit shit shit shit shit cuz",0,-84
"375141","bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch biioottcc",-19,-95
"1718029","son of a fuck son of a fuck son of a fuck son of a fuck son of a fuck son of a fuck son of a fuck son of a fuck son of a fuck",0,-81
"2047613","fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuc",0,-104
"2620836","fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck",0,-92
"3086378","fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck",0,-84
"3141630","fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fu",0,-108
"4383463","crap crap crap crap crap crap crap crap crap crap crap crap crap crap crap crap crap crap crap crap crap crap crap crap crap crap crap cr",0,-81
"4413919","ass ass ass ass ass ass ass ass ass ass ass ass ass ass ass ass ass ass ass ass ass ass ass ass ass ass ass ass ass ass",0,-120
"4907222","wtf wtf wtf wtf wtf wtf wtf wtf wtf wtf wtf wtf wtf wtf wtf wtf wtf wtf wtf wtf wtf wtf wtf wtf wtf wtf wtf wtf wtf wtf wtf wtf wtf w",0,-132
"4976077","fuck fuck fuck fuck fuck fuck fuck  fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck",0,-96
"5880009","fuck u fuck u fuck u fuck u fuck u fuck u fuck u fuck u fuck u fuck u fuck u fuck u fuck u fuck u fuck u fuck u fuck u fuck u fuck u",0,-76
"8658473","is a bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch",-17,-86
