"","text","Wiebe.sentiment","AFINN.sentiment"
"139988","usa usa usa usa usa usa usa usa usa usa usa usa usa usa usa usa usa usa usa usa usa usa usa usa usa usa usa u",27,0
"140136","ger ger ger ger ger ger ger ger ger ger ger ger ger ger ger ger ger ger ger ger ger ger ger ger ger ger ger g",27,0
"196679","help help help help help help help help help help help help help help help help help help help help help help help help help help hel",26,52
"225423","realizes im officially a senior no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no",34,0
"2971121","no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no",40,11
"3589827","no no no no no no no no no no no no no no no no no no no no no no no no no no",30,8
"3773661","no no no no no no no no no no no no no just no",27,20
"4809698","yo yo yo yo yo yo yo yo yo yo yo yo yo yo yo yo yo yo yo yo yo yo yo yo yo yo yo yo yo yo yo yo yo yo yo yo yo yo yo yo yo yo yo yo y",44,88
"5038161","no no no no no no no no no no no no no no no no no no no",28,-3
"5554141","usa usa usa usa usa usa usa usa usa usa usa usa usa usa usa usa usa usa usa usa usa usa usa usa usa usa us",26,0
"5564695","no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no",44,17
"5586553","no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no nono no",32,7
"6592624","no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no",42,14
"7172038","rd base   alexia no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no n",31,-2
"7269946","usa usa usa usa usa usa usa usa usa usa usa usa usa usa usa usa usa usa usa usa usa usa usa usa usa usa usa usa usa usa usa usa usa",33,0
"7684724","yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes y",33,33
"8459209","no no no no no no no no no no no no no no no no no no just no",29,-3
"271155","i love love love love love love love love love love love love love love love love love love love love love love love you",24,71
"1733879","wow mt  ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha etc",1,60
"1811082","blurred text sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex jason sex sex sex sex sex ahaha",25,75
"3159831","happy happy happy happy happy happy happy happy happy happy happy happy stressed happy happy happy happy happy happy happy happy happy ha",21,63
"3259711","lmao lmao lmao lmao lmao lmao lmao lmao lmao lmao lmao lmao lmao lmao lmao lmao lmao lmao",0,72
"4412535","wow wow wow wow wow wow wow wow wow wow wow wow wow wow wow wow",16,64
"4700940","i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you",22,55
"5431198","i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love",21,53
"8370453","i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i",22,55
